sense_key,text_snippet,doc_id,annotation_index,sense_key fixes,
used_to%5:00:00:accustomed_to:00,"yourself, take the fact for granted, try to be helpful, but don't ask questions. I'm used_to all three, but I think the_French have the healthiest attitude "".
 That was the day that Pierre had",9WLU,2092,used_to%3:00:03::,
used_to%5:00:00:accustomed_to:00,"tired beyond almost the limits of his flesh. He had ridden hard from Boston, and he was not used_to horseback. Now, driving the horse and sulky borrowed from Mynheer_Schuyler, he felt as if every bone was",sW03,437,used_to%3:00:03::,
used_to%5:00:00:accustomed_to:00,"dramatic. "" Precious and I allow each other absolute freedom. We are above being jealous. He's used_to me bringing home strange men. I'll just tell him you're my husband. He cann't object",piKr,473,used_to%3:00:03::,
used_to%5:00:00:accustomed_to:00,"We were on our vacation in Canada "", Howard explained, in a muffled voice that must have been used_to booming, "" and the news didn't catch_up_with us till we were nearly home. We came_on as_soon_as we",Do17,887,used_to%3:00:03::,
used_to%5:00:00:accustomed_to:00,"more_than just roads and wells and schools. Ask Mr._Keo "".
 Mr._Keo agreed. "" Our people have been used_to accepting things as they found them "", he said. "" Where there was no road, they lived",7Syr,1698,used_to%3:00:03::,
used_to%5:00:00:accustomed_to:00,"others, before they'd take offense, threaten to call the manager. Funny how seldom they did: used_to it, probably. The kind who came into a cheap store like this! Grab, snatch, I",2Rff,1522,used_to%3:00:03::,
widely%4:02:00::,"in_this play in_spite_of the author's convictions to_the_contrary.
 There is nothing in the whole range of human experience more widely known and universally felt than spirit. Apart from spirit there could be no community, for it is spirit",aTbD,1745,widely%4:02:01::,
widely%4:02:00::,"our Fathers: Mary's prayers / Shall win our country back to thee "". The English saints are widely venerated, quite naturally, and now there is great hope that the Forty_Martyrs and Cardinal_Newman will soon be canonized",YpBF,1426,widely%4:02:01::,
widely%4:02:00::,"their discipline as amateurs, collectors, commercial propagandists, analysts or some combination of the four. They have widely varying backgrounds and aims. They have little "" esprit_de_corps "".
 The outlook for the amateur, for_instance,",hbLl,1237,widely%4:02:01::,
widely%4:02:00::,". The best_known field of application for builders is in heavy-duty, spray-dried detergent formulations for household use. These widely advertised products, which are used primarily for washing clothes, are based on high-sudsing, synthetic organic actives (",2INC,70,widely%4:02:01::,
widely%4:02:00::,"for the numerical evaluation of detergents. Harris has indicated that two devices, the Launder-Ometer and Terg-O-Tometer are most widely used for rapid detergent testing, and he has listed the commercially available standard soiled fabrics. Also given are",2INC,617,widely%4:02:01::,
widely%4:02:00::,"most persistent, and most cohesive forms of social groupings have grown out of religion. These groups have varied widely from mere families, primitive, totemic groups, and small modern cults and sects, to the memberships of",Vkcq,1347,widely%4:02:01::,
widely%4:02:00::,"totemic groups, and small modern cults and sects, to the memberships of great denominations, and great, widely dispersed world religions. Religion fosters group life in various ways. The common ultimate values, ends and goals",Vkcq,1374,widely%4:02:01::,
widely%4:02:00::,"pace could now be accelerated, for the inhabitants of the Aegean stood_on_firm_ground.
 The landscape of Greek history broadens widely, and rather abruptly, in the eighth century B.C., the age of Homer's "" rosy fingered Dawn",t46b,1070,widely%4:02:01::,
widely%4:02:00::,"proponent.
 But to return to the main line of our inquiry. It is doubtful that Utopia is still widely read because More was medieval or even because he was a martyr - indeed, it is likely that these",cfyn,352,widely%4:02:01::,
widely%4:02:00::,many who read Utopia with interest do not even know that its author was a martyr. Utopia is still widely read because in_a_sense More stood on the margin of modernity. And if he did stand on the margins of,cfyn,394,widely%4:02:01::,
widely%4:02:00::,"by a further paradox of Cubism, that the means to an illusion of depth and plasticity had now become widely divergent from the means of representation or imaging. In the Analytical phase of their Cubism, Braque and Picasso",ZP4i,1287,widely%4:02:01::,
widely%4:02:00::,"is no part of the earth that has not had them.
 The effects of earthquakes on civilization have been widely publicized, even overemphasized. The role of an earthquake in starting the destruction of whole cities is tremendously frightening",dKJN,1815,widely%4:02:01::,
widely%4:02:00::,"schools as "" general "" high_schools. The suburban high_school, it is worth noting, also is not a widely comprehensive high_school because of the absence of vocational_programs. The reason is that there is a lack of interest on",k6lE,1560,widely%4:02:01::,
widely%4:02:00::,"a more representative selection of systems is familar to every practicing field linguist. Papers like these four, if widely read, will contribute importantly to improvement of our analytic work.
 The second need is better field techniques.",tb7v,170,widely%4:02:01::,
widely%4:02:00::,"basis.
 One other paper deals with a phonologic problem: Vowel_Harmony_in_Igbo, by J._Carnochan. This restates the already widely known facts in_terms_of prosodies. As a restatement it makes only a small contribution to knowledge of Igbo. But",tb7v,1870,widely%4:02:01::,
widely%4:02:00::,", detecting, and hard on feet.
 There was also the one salient question to ask, and ask widely: Did you notice anything out_of_the_way? Like, for_example, a man carrying a twenty-two_rifle, probably with a",Pyrp,573,widely%4:02:01::,
widely%4:02:00::,"plain, straight-out shoot-down "".
 He had lots of friends, then as always. Even as he became widely known_as a professional killer, nearly every cowboy and rancher in Wyoming seemed proud to call him a friend.",W6Rk,1343,widely%4:02:01::,
